date,user,text,retweets,favourites
2021-03-19 19:27:10,JoeBiden,"RT @POTUS: This afternoon, Vice President Harris and I are meeting with Asian American leaders in Atlanta, Georgia. We’re going to discuss…",7589,0
2021-03-19 01:22:06,JoeBiden,"RT @WhiteHouse: Big News: President Biden announced that tomorrow, our Administration will hit 100 million COVID-19 shots administered. 

T…",6286,0
2021-03-18 20:01:03,JoeBiden,"RT @POTUS: In honor of the victims of the senseless shootings in Atlanta, I’ve ordered the flag of the United States to be flown at half-st…",7520,0
2021-03-18 01:20:33,JoeBiden,"RT @POTUS: Jill and I are keeping everyone impacted by the shootings in Atlanta in our prayers. We don’t yet know the motive, but what we d…",11475,0
2021-03-16 21:05:40,JoeBiden,"RT @WhiteHouse: Across the country, millions of small businesses are struggling to keep their doors open. Here’s a breakdown of how the Ame…",2002,0
2021-03-16 16:15:39,JoeBiden,RT @POTUS: That’s the American Rescue Plan. https://t.co/7pE89mi4C6,3632,0
2021-03-15 21:41:10,JoeBiden,"RT @WHCOVIDResponse: Over the weekend, we administered nearly 6 million doses of the COVID-19 vaccine. 

Today, for the first time on a Mon…",1676,0
2021-03-15 17:25:34,JoeBiden,"RT @POTUS: Last week, I signed the American Rescue Plan into law and direct payments have begun going out to folks across the country. I kn…",3395,0
2021-03-14 23:23:46,JoeBiden,RT @WhiteHouse: The Biden-Harris Administration has been working around the clock to get America vaccinated. We’ve doubled daily vaccinatio…,3580,0
2021-03-14 15:12:51,JoeBiden,"It matters whether you continue to wear a mask.  
It matters whether you continue to socially distance.  
It matters whether you wash your hands.  

It all matters and can help save lives.",32114,243967
2021-03-13 20:38:58,JoeBiden,RT @POTUS: To everyone out there who’s hurting or struggling to get by: help is here. https://t.co/fkME0yMmBK,4221,0
2021-03-13 17:42:27,JoeBiden,"The American Rescue Plan means a $7,000 check for a single mom of four. It means more support to safely and quickly reopen schools. It means setting up additional vaccination sites to help America get back to normal. 

What does the American Rescue Plan mean to you?",11881,131925
2021-03-12 19:34:12,JoeBiden,"RT @POTUS: This afternoon, I’m joining Vice President Harris and members of Congress to celebrate the passage of the American Rescue Plan.…",3311,0
2021-03-12 16:30:45,JoeBiden,"85% of American households will get direct checks from the American Rescue Plan.

For so many Americans, that means they can pay the rent. That means they can put food on the table.  

Share below what the American Rescue Plan will do for you.",15550,154903
2021-03-12 01:28:15,JoeBiden,RT @POTUS: All adult Americans will be eligible to get the vaccine no later than May 1.,27088,0
